Brassicaceae	Stanleya pinnata	72662	486	Stanleya pinnata	Spinnata	Desert princesplume	v1.1	restricted	JGI	JGI	82.8
Brassicaceae	Thlaspi arvense	13288	479	Thlaspi arvense	Tarvense	Field penny-cress	v1.1	restricted	JGI	JGI	98.3
Citrus	Citrus clementina	85681	182	Citrus clementina	Cclementina	Clementine	v1.0	unrestricted	JGI	JGI	96.7
Citrus	Citrus sinensis	2711	154	Citrus sinensis	Csinensis	Sweet orange	v1.1	unrestricted	JGI	JGI	91.4
Monocot	Ananas comosus	4615	321	Ananas comosus	Acomosus	Pineapple	v3	unrestricted	FAFU/UIUC	FAFU/UIUC	92.1
Monocot	Asparagus officinalis	4686	498	Asparagus officinalis	Aofficinalis	Asparagus	V1.1	unrestricted	UGA	UGA	88.8
Monocot	Musa acuminata	4641	304	Musa acuminata	Macuminata	Banana	v1	unrestricted	Genoscope/Cirad	Genoscope/Cirad	94.1
Monocot	Spirodela polyrhiza	29656	290	Spirodela polyrhiza	Spolyrhiza	Greater duckweed	v2	unrestricted	MIPS	MIPS	92.8
Monocot	Zostera marina	29655	324	Zostera marina	Zmarina	Common eelgrass	v2.2	unrestricted	ORCAE	ORCAE	97.0
Grass	Hordeum vulgare	4513	462	Hordeum vulgare	Hvulgare	Barley	r1	unrestricted	IBSC	IBSC	91.5
Grass	Oropetium thomaeum	1148796	386	Oropetium thomaeum	Othomaeum		v1.0	unrestricted	DanforthCenter	DanforthCenter	84.2
Grass	Oryza sativa	4530	323	Oryza sativa	Osativa	Rice	v7.0	unrestricted	MSU	MSU	95.1
Grass	Oryza sativa Kitaake	4530	499	Oryza sativa Kitaake	OsativaKitaake	Kitaake rice	v3.1	unrestricted	JGI	JGI	98.3
Grass	Triticum aestivum	4565	296	Triticum aestivum	Taestivum	Common wheat	v2.2	unrestricted	MIPS	MIPS	92.8
Brachypodium	Brachypodium distachyon Bd21-3	15368	460	Brachypodium distachyon Bd21-3	BdistachyonBd21_3	Purple false brome	v1.1	restricted	JGI	JGI	98.0
