Brachypodium distachyon ABR9	15368	333	BdistachyonABR9		1.0	JGI	v1	JGI	unrestricted	96.8
Brachypodium distachyon BdTR13a	15368	334	BdistachyonBdTR13a		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Pangenome	15368	335	BdistachyonPangenome		1.0	JGI	v1	JGI	unrestricted	98.7
Brachypodium distachyon ABR6	15368	336	BdistachyonABR6		1.0	JGI	v1	JGI	unrestricted	97.9
Brachypodium distachyon ABR2	15368	337	BdistachyonABR2		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon Bis-1	15368	338	BdistachyonBis-1		1.0	JGI	v1	JGI	unrestricted	96.9
Brachypodium distachyon Gaz-8	15368	339	BdistachyonGaz-8		1.0	JGI	v1	JGI	unrestricted	75.0
Brachypodium distachyon S8iic	15368	340	BdistachyonS8iic		1.0	JGI	v1	JGI	unrestricted	97.5
Brachypodium distachyon Tek-2	15368	341	BdistachyonTek-2		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon Kah-5	15368	342	BdistachyonKah-5		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon ABR3	15368	343	BdistachyonABR3		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon Bd30-1	15368	344	BdistachyonBd30-1		1.0	JGI	v1	JGI	unrestricted	96.0
Brachypodium distachyon BdTR1i	15368	345	BdistachyonBdTR1i		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Bd29-1	15368	346	BdistachyonBd29-1		1.0	JGI	v1	JGI	unrestricted	93.6
Brachypodium distachyon Luc1	15368	347	BdistachyonLuc1		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon BdTR8i	15368	348	BdistachyonBdTR8i		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon Bd1-1	15368	349	BdistachyonBd1-1		1.0	JGI	v1	JGI	unrestricted	96.1
Brachypodium distachyon Mon3	15368	350	BdistachyonMon3		1.0	JGI	v1	JGI	unrestricted	96.6
Brachypodium distachyon Kah-1	15368	351	BdistachyonKah-1		1.0	JGI	v1	JGI	unrestricted	86.5
Brachypodium distachyon BdTR12c	15368	352	BdistachyonBdTR12c		1.0	JGI	v1	JGI	unrestricted	94.8
Brachypodium distachyon Bd2-3	15368	353	BdistachyonBd2-3		1.0	JGI	v1	JGI	unrestricted	95.4
Brachypodium distachyon BdTR3c	15368	354	BdistachyonBdTR3c		1.0	JGI	v1	JGI	unrestricted	98.0
Brachypodium distachyon Arn1	15368	355	BdistachyonArn1		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon ABR8	15368	356	BdistachyonABR8		1.0	JGI	v1	JGI	unrestricted	91.5
Brachypodium distachyon BdTR11g	15368	357	BdistachyonBdTR11g		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon BdTR9k	15368	358	BdistachyonBdTR9k		1.0	JGI	v1	JGI	unrestricted	94.5
Brachypodium distachyon Adi-12	15368	359	BdistachyonAdi-12		1.0	JGI	v1	JGI	unrestricted	95.8
Brachypodium distachyon Ron2	15368	360	BdistachyonRon2		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon Bd21 AsmbCtrl	15368	361	BdistachyonBd21AsmbCtrl		1.0	JGI	v1	JGI	unrestricted	97.1
Brachypodium distachyon Bd18-1	15368	362	BdistachyonBd18-1		1.0	JGI	v1	JGI	unrestricted	98.4
Brachypodium distachyon BdTR11i	15368	363	BdistachyonBdTR11i		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon ABR4	15368	364	BdistachyonABR4		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon BdTR13c	15368	365	BdistachyonBdTR13c		1.0	JGI	v1	JGI	unrestricted	95.1
Brachypodium distachyon Foz1	15368	366	BdistachyonFoz1		1.0	JGI	v1	JGI	unrestricted	96.8
Brachypodium distachyon BdTR2g	15368	367	BdistachyonBdTR2g		1.0	JGI	v1	JGI	unrestricted	95.3
Brachypodium distachyon Koz-3	15368	368	BdistachyonKoz-3		1.0	JGI	v1	JGI	unrestricted	95.6
Brachypodium distachyon ABR7	15368	369	BdistachyonABR7		1.0	JGI	v1	JGI	unrestricted	98.1
Brachypodium distachyon BdTR5i	15368	370	BdistachyonBdTR5i		1.0	JGI	v1	JGI	unrestricted	94.1
Brachypodium distachyon Sig2	15368	371	BdistachyonSig2		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon Adi-2	15368	372	BdistachyonAdi-2		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon Mur1	15368	373	BdistachyonMur1		1.0	JGI	v1	JGI	unrestricted	96.2
Brachypodium distachyon BdTR10c	15368	374	BdistachyonBdTR10c		1.0	JGI	v1	JGI	unrestricted	93.3
Brachypodium distachyon Jer1	15368	375	BdistachyonJer1		1.0	JGI	v1	JGI	unrestricted	96.5
Brachypodium distachyon BdTR2b	15368	376	BdistachyonBdTR2b		1.0	JGI	v1	JGI	unrestricted	96.7
