Brachypodium sylvaticum	29664	490	Bsylvaticum		v1.0	JGI	v1.1	JGI	restricted	97.2
Arabidopsis thaliana	3702	167	Athaliana	thale cress	TAIR9	TAIR	TAIR10	TAIR	unrestricted	99.3
Setaria viridis	4556	311	Sviridis	green foxtail millet	v1.0	JGI	v1.1	JGI	unrestricted	97.5
Sphagnum fallax	53036	310	Sfallax	flat-topped bogmoss	v0.5	JGI	v0.5	JGI	restricted	71.1
Brachypodium stacei	1071399	316	Bstacei		v1.0	JGI	v1.1	JGI	unrestricted	98.6
Brachypodium distachyon	15368	314	Bdistachyon	purple false brome	v3.0	JGI	v3.1	JGI	unrestricted	98.6
Trifolium pratense	57577	385	Tpratense	red clover	v2	TGAC	v2	TGAC	unrestricted	87.6
Malus domestica	3750	491	Mdomestica	apple	GDDH13v1.1	AGE	v1.1	AGE	restricted	96.8
Eutrema salsugineum	72664	173	Esalsugineum	salt cress	v1	JGI	v1.0	JGI	unrestricted	98.4
Populus trichocarpa	3694	444	Ptrichocarpa	western poplar	v3.0	JGI	v3.1	JGI	unrestricted	97.4
Zea mays	4577	493	Zmays	maize	APGv4	CSHL	RefGen_V4	CSHL	unrestricted	95.2
Zea mays PH207	4577	443	ZmaysPH207	maize	v1.0	UMN	v1.1	UMN	unrestricted	87.9
Solanum tuberosum	4113	448	Stuberosum	potato	v4.03	MSU	v4.03	MSU	unrestricted	85.5
Arabidopsis thaliana	3702	447	Athaliana	thale cress	TAIR9	TAIR	Araport11	Araport	unrestricted	99.3
Brassica oleracea capitata	3712	446	Boleraceacapitata	cabbage	v1.0	OCRI	v1.0	OCRI	unrestricted	78.4
Mimulus guttatus	4155	256	Mguttatus	monkey flower	v2.0	JGI	v2.0	JGI	unrestricted	94.5
Triticum aestivum	4565	296	Taestivum	wheat	v2	MIPS	v2.2	MIPS	unrestricted	89.4
Lunaria annua	153659	476	Lannua	annual honesty	v1	JGI	v1.1	JGI	restricted	97.6
Amborella trichopoda	13333	291	Atrichopoda	amborella	v1.0	AGP	v1.0	AGP	unrestricted	84.5
Cicer arietinum	3827	492	Carietinum	chickpea	v1.0	CGIAR	v1.0	CGIAR	unrestricted	89.6
Brachypodium distachyon Bd21-3	15368	460	BdistachyonBd21-3		v1.0	JGI	v1.1	JGI	restricted	98.0
Setaria italica	4555	312	Sitalica	foxtail millet	v2	JGI	v2.2	JGI	unrestricted	98.4
Eucalyptus grandis	71139	297	Egrandis	eucalyptus	v2.0	JGI	v2.0	JGI	unrestricted	92.3
Prunus persica	3760	298	Ppersica	peach	v2.0	JGI	v2.1	JGI	unrestricted	98.8
Brassica rapa FPsc	3711	277	BrapaFPsc	turnip mustard	v1	JGI	v1.3	JGI	unrestricted	96.9
Sorghum bicolor Rio	4558	468	SbicolorRio	sorghum	v2.0	JGI	v2.1	JGI	unrestricted	97.0
Panicum virgatum	38727	450	Pvirgatum	switchgrass	v4.0	JGI	v4.1	JGI	unrestricted	98.3
Chlamydomonas reinhardtii	3055	281	Creinhardtii	green algae	v5.0	JGI	v5.6	JGI	unrestricted	27.6
Kalanchoe laxiflora	1670617	309	Klaxiflora		v1.0	JGI	v1.1	JGI	restricted	94.3
Setaria viridis	4556	500	Sviridis	green foxtail millet	v2.0	JGI	v2.1	JGI	unrestricted	99.0
Brachypodium distachyon	15368	283	Bdistachyon	purple false brome	v2.0	JGI	v2.1	JGI	unrestricted	98.3
Stanleya pinnata	72662	486	Spinnata	Princes Plume	v1	JGI	v1.1	JGI	restricted	71.2
Physcomitrium patens	3218	318	Ppatens	moss Physcomitrella patens	v3	COSMOSS	v3.3	COSMOSS	unrestricted	67.9
Volvox carteri	3067	317	Vcarteri	volvox	v2	JGI	v2.1	JGI	unrestricted	26.0
Zostera marina	29655	324	Zmarina	common eelgrass	v2.2	ORCAE	v2.2	ORCAE	unrestricted	85.0
Dunaliella salina	3046	325	Dsalina		v1	JGI	v1.0	JGI	restricted	18.6
Ananas comosus	4615	321	Acomosus	pineapple	v3	FAFU/UIUC	v3	FAFU/UIUC	unrestricted	89.3
Manihot esculenta	3983	305	Mesculenta	cassava	v6.0	JGI	v6.1	JGI	unrestricted	95.3
Oryza sativa	4530	323	Osativa	rice	v7.0	MSU	v7.0	MSU	unrestricted	95.6
Aquilegia coerulea	218851	322	Acoerulea	Colorado blue columbine	v3	JGI	v3.1	JGI	unrestricted	95.8
Marchantia polymorpha	3197	320	Mpolymorpha	common liverwort	v3.0	JGI	v3.1	JGI	unrestricted	66.7
Brachypodium distachyon BdTR7a	15368	329	BdistachyonBdTR7a		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon ABR9	15368	333	BdistachyonABR9		1.0	JGI	v1	JGI	unrestricted	96.8
Brachypodium distachyon BdTR13a	15368	334	BdistachyonBdTR13a		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon ABR6	15368	336	BdistachyonABR6		1.0	JGI	v1	JGI	unrestricted	97.9
Hydrangea quercifolia	60124	589	Hquercifolia	oakleaf hydrangea	v1.0	HA	v1.1	JGI	restricted	93.1
Carya illinoinensis Pawnee	32201	588	CillinoinensisPawnee	pecan	v1.0	HA	v1.1	JGI	unrestricted	95.9
Joinvillea ascendens	38723	587	Jascendens	`ohe	v1.0	JGI	v1.1	JGI	restricted	98.0
Acorus americanus	263995	586	Aamericanus	sweetflag	v1.0	JGI	v1.1	JGI	restricted	94.2
Cleome violacea	389490	585	Cviolacea	spider plant	v2.0	JGI	v2.1	JGI	restricted	98.1
Sinapis alba	3728	584	Salba	white mustard	v3.0	JGI	v3.1	JGI	restricted	98.1
Myagrum perfoliatum	359867	583	Mperfoliatum	bird's eye cress	v2.0	JGI	v2.1	JGI	restricted	98.5
Diptychocarpus strictus	359840	582	Dstrictus		v2.0	JGI	v2.1	JGI	restricted	94.6
Phaseolus acutifolius WLD	33129	581	PacutifoliusWLD	tepary bean	v2.0	MSU	v2.0	MSU	unrestricted	95.8
Phaseolus acutifolius	33129	580	Pacutifolius	tepary bean	v1.0	MSU	v1.0	MSU	unrestricted	94.7
Brachypodium mexicanum	52141	577	Bmexicanum		v1.0	JGI	v1.1	JGI	restricted	99.5
Schrenkiella parvula	98039	574	Sparvula		v2.0	LSU	v2.2	LSU	unrestricted	96.8
Spinacia oleracea	3562	575	Soleracea	spinach	Spov3	UCD	Spov3	UCD	unrestricted	83.9
Mimulus guttatus NONTOL	4155	553	MguttatusNONTOL	monkey flower	v4.0	JGI	v4.0	JGI	restricted	91.8
Mimulus guttatus NONTOL	4155	506	MguttatusNONTOL	monkey flower	v3.0	JGI	v3.1	JGI	restricted	91.9
Thuja plicata	3316	572	Tplicata	western red-cedar	v3	UBC	v3.1	JGI	restricted	84.5
Lotus japonicus	34305	571	Ljaponicus		Lj1.0	HAU	Lj1.0v1	HAU	unrestricted	96.7
Lupinus albus	3870	567	Lalbus	white lupine	r1	PeretLab	v1	PeretLab	unrestricted	95.0
Nymphaea colorata	210225	566	Ncolorata	water lilly	v1.0	Zhejiang University	v1.2	JGI	unrestricted	92.5
Poncirus trifoliata	37690	565	Ptrifoliata	hardy orange	v1.3	JGI	v1.3.1	JGI	unrestricted	97.2
Sorghum bicolor BTx642	4558	564	SbicolorBTx642	sorghum	v1.0	JGI	v1.1	JGI	restricted	99.4
Phaseolus lunatus	3884	563	Plunatus	lima bean	v1	Uniandes	V1	Uniandes	restricted	93.7
Eleusine coracana	4511	560	Ecoracana	finger millet	v1.0	UGA/MIPS	v1.1	UGA/MIPS	restricted	94.9
Vigna unguiculata ZN016	3917	559	VunguiculataZN016	cowpea	v1.0	UCR	v1.2	JGI	restricted	95.6
Vigna unguiculata TZ30	3917	558	VunguiculataTZ30	cowpea	v1.0	UCR	v1.2	JGI	restricted	95.3
Brachypodium distachyon	15368	556	Bdistachyon	purple false brome	v3.0	JGI	v3.2	JGI	restricted	99.3
Mimulus guttatus TOL	4155	551	MguttatusTOL	monkey flower	v5.0	JGI	v5.0	JGI	restricted	93.1
Sorghum bicolor RTx430	4558	552	SbicolorRTx430	sorghum	v2.0	JGI	v2.1	JGI	restricted	99.2
Vigna unguiculata	3917	540	Vunguiculata	cowpea	v1.0	UCR	v1.2	JGI	restricted	96.0
Brachypodium distachyon Bd1-1	15368	549	BdistachyonBd1-1		v1.0	JGI	v1.1	JGI	restricted	99.4
Vigna unguiculata CB5-2	3917	545	VunguiculataCB5-2	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.1
Vigna unguiculata Sanzi	3917	544	VunguiculataSanzi	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.6
Vigna unguiculata UCR779	3917	543	VunguiculataUCR779	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.6
Vigna unguiculata Suvita2	3917	541	VunguiculataSuvita2	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.3
Beta vulgaris	161934	548	Bvulgaris	beet	EL10_1.0	MSU	EL10_1.0	MSU	unrestricted	89.2
Dioscorea alata	55571	550	Dalata	yam	v2.0	UC Berkeley	v2.1	JGI	restricted	94.9
Ceratodon purpureus GG1	3225	539	CpurpureusGG1		v1.0	JGI	v1.1	JGI	unrestricted	69.1
Ceratodon purpureus R40	3225	538	CpurpureusR40		v1.0	JGI	v1.1	JGI	unrestricted	69.0
Brachypodium distachyon Bd21-3	15368	537	BdistachyonBd21-3		v1.0	JGI	v1.2	JGI	restricted	99.0
Cinnamomum kanehirae	337451	531	Ckanehirae	stout camphor tree	v3	BRCAS	v3	BRCAS	unrestricted	89.8
Phaseolus vulgaris UI111	3885	534	PvulgarisUI111	common bean	v1.0	JGI	v1.1	JGI	restricted	96.9
Populus trichocarpa	3694	533	Ptrichocarpa	western poplar	v4.0	JGI	v4.1	JGI	unrestricted	98.9
Gossypium darwinii	34276	529	Gdarwinii	cotton	v1.0	JGI	v1.1	JGI	unrestricted	98.5
Brachypodium distachyon ABR2	15368	337	BdistachyonABR2		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon ABR3	15368	343	BdistachyonABR3		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon Bd30-1	15368	344	BdistachyonBd30-1		1.0	JGI	v1	JGI	unrestricted	96.0
Brachypodium distachyon BdTR1i	15368	345	BdistachyonBdTR1i		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Bd29-1	15368	346	BdistachyonBd29-1		1.0	JGI	v1	JGI	unrestricted	93.6
Brachypodium distachyon BdTR8i	15368	348	BdistachyonBdTR8i		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon Bd1-1	15368	349	BdistachyonBd1-1		1.0	JGI	v1	JGI	unrestricted	96.1
Brachypodium distachyon BdTR12c	15368	352	BdistachyonBdTR12c		1.0	JGI	v1	JGI	unrestricted	94.8
Brachypodium distachyon Bd2-3	15368	353	BdistachyonBd2-3		1.0	JGI	v1	JGI	unrestricted	95.4
